French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
genre,kind
mois,month
laisser,let
car,because
mettre,to put
aucun,no
eux,them
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
savais,knew
attention,Warning
voici,here is
pourrais,could
type,type
donné,given
train,train
corps,body
façon,way
trouve,find
premier,first
perdu,lost
main,hand
première,first
vieux,old
sois,be
tellement,so much
enfant,child
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
